text,date,user,sentiment,query
has updated her plurk!!! (LOL) ;-) :-o  ) http://plurk.com/p/z1r66,Sun Jun 07 03:03:58 PDT 2009,julie71593,4,NO_QUERY
@swtnlocarb looks like fun  I wish I could have gone. Pokey is on his way home. Tell me a funny from him.,Sat Jun 20 19:44:46 PDT 2009,ramirezdejones,0,NO_QUERY
@cowfish Hello there!   http://twitpic.com/69aun,Sat May 30 07:44:57 PDT 2009,utku,4,NO_QUERY
Going to bed. Fuck she's got me worrying about her ,Mon Apr 20 23:04:50 PDT 2009,lukekryt,0,NO_QUERY
What is the best remedy for teething pain? My Lily's first tooth is starting to come in at almost one year of age and she's been hurting. ,Tue Jun 16 10:00:27 PDT 2009,Happymaker,0,NO_QUERY
Where do i go from here? ,Tue Jun 16 10:01:45 PDT 2009,sexytexyy,0,NO_QUERY
YAY BOX IS ON THE WAY AND I DON'T NEED MY SERVICE TAGS! Only sad thing is... no slideshow during my grad party ,Wed Jun 03 10:16:31 PDT 2009,delphilicious,0,NO_QUERY
6 mins 'till midnight and i'm not yet sleepy! Lol. ,Sun May 31 08:55:10 PDT 2009,kim_davies,4,NO_QUERY
Susan Boyle (@SingSusanBoyle) followed me on Twitter. I wonder if it's the real one ,Sun May 03 21:46:56 PDT 2009,sungpong,4,NO_QUERY
@laurenisadick didn't get to go 2 download this year  already planning next years trip!!,Wed Jun 17 02:19:07 PDT 2009,redvers,0,NO_QUERY
chacha.com ...  ask me questions LOL i want $$$,Sun Jun 07 20:17:16 PDT 2009,seashellz,4,NO_QUERY
"@hvezda It was too dark for my camera to pick anything up - but it looks like we might be in for another one, so we'll see.  Hi again!",Tue Jun 16 02:19:03 PDT 2009,locusceruleus,4,NO_QUERY
"for some reason, my phone does not want receive everyone's tweets ",Thu Jun 18 11:17:52 PDT 2009,sarahbethgrant,0,NO_QUERY
i'm an auntie again!!! to another baby boy! ,Sun May 31 11:25:45 PDT 2009,yas_duh,4,NO_QUERY
@nickjacob_116 I would like to see something else.  Twitter is awesome.  It doesn't compete with troops and AKs.  Sorry.   #iran,Fri Jun 19 21:05:10 PDT 2009,oronhaus,0,NO_QUERY
Good start to the family trip. Out with the slowness. Yay ,Sat Jun 20 04:57:48 PDT 2009,bagoin,0,NO_QUERY
@apasqualone hmm i don't think you had very many points to lose in the first place. ohhh burrnnn. (you know i'm only kidding) ,Sat May 30 22:25:43 PDT 2009,elizabethxanne,4,NO_QUERY
@ourentropy You actually have a great idea of what a Schipperke is!  ,Sat May 30 20:32:54 PDT 2009,schipperke_chat,4,NO_QUERY
Ft. Wayne is rolling better tonight. ,Sat May 30 17:20:30 PDT 2009,vslayer,0,NO_QUERY
@rodrigo very grey morning ,Tue Apr 07 00:51:47 PDT 2009,zbrass,0,NO_QUERY
doesn't feel too good.. ,Mon Jun 15 21:51:36 PDT 2009,emmelinehong,0,NO_QUERY
it's 4:18! ummm...goodnight   &lt;3,Mon May 18 01:18:38 PDT 2009,eclecticxmanda,4,NO_QUERY
Bowling Party was awesome! i am going to miss everyone!!! Graduation tomorrow!! ,Thu Jun 18 17:31:29 PDT 2009,JordanClaypool,0,NO_QUERY
In bed... Still doing my legal homework... I am soo tired ,Wed Jun 17 07:44:21 PDT 2009,rachhiieee,0,NO_QUERY
Argh school in an hour; I cannot deal with her today; science test today ,Mon Jun 01 04:23:34 PDT 2009,laurababora,0,NO_QUERY
Great - gale force winds &amp; lots of rain on it's way - don't mind the rain but gale force winds suck when u live across from the beach ,Mon May 18 01:05:35 PDT 2009,CherylH77,0,NO_QUERY
Aaaaargh. Wisdom tooth is KILLING me. Left cheek is swollen. Who has a teething child? I am coming to steal all your bonjella. ,Sun May 10 02:54:26 PDT 2009,CocaineBlues_,0,NO_QUERY
Guess I will be heading to Georgia myself... my grandfather died yesterday... too bad nkotb can't go to the funeral to hold my hand.. ,Mon Jun 01 09:40:45 PDT 2009,ValGal1965,0,NO_QUERY
just got her ipod touch stolen... at her own pool. why does this shit always happens to me ,Fri May 22 00:42:52 PDT 2009,SarahKanety,0,NO_QUERY
@jonubian *gasp you were in my neck of the woods?!  brooklyn moon is always slow as molasses....,Tue Jun 16 19:43:45 PDT 2009,SolWorks,0,NO_QUERY
